IBGE_6,IBGE_7,Município_Join,latitude,longitude,valor_vaar_2025,populacao,iqem_indice,Motivo,recebeu_valor,valor_estimado
351380,3513801.0,DIADEMA,-23.697119899667832,-46.61134223532744,0.0,3932370.0,0.0083237,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
351385,3513850.0,DIRCE REIS,-20.44847645903061,-50.62811255674651,0.0,16200.0,3.03e-05,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020",False,0.0
351390,3513900.0,DIVINOLÂNDIA,-21.66170037959864,-46.69742189083762,0.0,0.0,0.0,,False,0.0
351410,3514106.0,DOIS CÓRREGOS,-22.39603276555569,-48.34048864056439,0.0,0.0,0.0,,False,0.0
351420,3514205.0,DOLCINÓPOLIS,-20.11727864861038,-50.52832549448491,0.0,0.0,0.0,,False,0.0
351430,3514304.0,DOURADO,-22.117247410746085,-48.33339742984872,0.0,80960.0,0.0002159,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020",False,0.0
351450,3514502.0,DUARTINA,-22.393295136553643,-49.41333860655509,0.0,123280.0,0.0002875,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020",False,0.0
351460,3514601.0,DUMONT,-21.247090743985677,-47.979778981625685,0.0,94710.0,0.0002636,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020",False,0.0
351470,3514700.0,ECHAPORÃ,-22.44832313094748,-50.20068708698976,208948.65,0.0,0.0,,True,0.0
351492,3514924.0,ELISIÁRIO,-21.16133259414445,-49.09205531495818,0.0,0.0,0.0,,False,0.0
351495,3514957.0,EMBAÚBA,-20.95292037843824,-48.84759623688533,0.0,0.0,0.0,,False,0.0
